trip_id,employee_id,dept,origin,destination,booking_date,travel_date,airline,fare,hotel_name,hotel_city,hotel_rate,is_preferred_airline,is_preferred_hotel,policy_route_cap
92,EMP0090,Marketing,BLR,DEL,2026-02-01,2026-02-04,Vistara,8337,Taj,DEL,4401,True,True,9000
93,EMP0096,Finance,BOM,DEL,2026-01-24,2026-01-28,Akasa Air,6694,Marriott,DEL,6053,False,True,8500
94,EMP0093,Engineering,BLR,MAA,2025-10-19,2025-11-02,IndiGo,8337,Marriott,MAA,6540,True,True,7000
95,EMP0096,Finance,BLR,BOM,2025-11-11,2025-11-15,Akasa Air,7298,Marriott,BOM,5347,False,True,8000
96,EMP0106,Finance,BOM,DEL,2026-01-18,2026-01-24,IndiGo,11929,Lemon Tree,DEL,9360,True,False,8500
97,EMP0047,Sales,DEL,BLR,2025-10-20,2025-10-22,Akasa Air,10333,Taj,BLR,8788,False,True,9000
98,EMP0082,Marketing,BLR,DEL,2026-01-14,2026-01-15,SpiceJet,11797,Taj,DEL,8997,False,True,9000
99,EMP0009,Finance,BLR,MAA,2025-11-14,2025-11-28,SpiceJet,5291,Taj,MAA,6493,False,True,7000
100,EMP0015,Sales,BLR,BOM,2026-02-07,2026-02-11,SpiceJet,6787,Lemon Tree,BOM,9484,False,False,8000
101,EMP0020,Finance,BLR,MAA,2025-10-23,2025-11-02,Akasa Air,7529,Lemon Tree,MAA,7493,False,False,7000
102,EMP0031,Marketing,BLR,DEL,2026-01-14,2026-01-16,Akasa Air,9257,OYO,DEL,6423,False,False,9000
103,EMP0012,Engineering,BLR,MAA,2025-12-27,2026-01-10,IndiGo,7103,Taj,MAA,5031,True,True,7000
104,EMP0027,Sales,MAA,BLR,2025-11-02,2025-11-16,Air India,7450,ITC,BLR,4023,True,True,7000
105,EMP0019,Engineering,MAA,BLR,2025-11-15,2025-11-22,IndiGo,8583,OYO,BLR,8957,True,False,7000
106,EMP0017,Finance,MAA,BLR,2025-10-21,2025-11-04,IndiGo,6155,Lemon Tree,BLR,9152,True,False,7000
107,EMP0079,Sales,BLR,MAA,2026-01-15,2026-01-29,Akasa Air,6182,Marriott,MAA,4498,False,True,7000
108,EMP0109,Finance,DEL,BLR,2026-01-16,2026-01-16,SpiceJet,13124,OYO,BLR,4709,False,False,9000
109,EMP0075,HR,BLR,MAA,2025-11-21,2025-12-01,Akasa Air,5725,Treebo,MAA,7747,False,False,7000
110,EMP0110,HR,BLR,MAA,2026-02-01,2026-02-08,SpiceJet,7386,Lemon Tree,MAA,8637,False,False,7000
111,EMP0041,Finance,BOM,DEL,2026-01-08,2026-01-14,Vistara,8285,ITC,DEL,4747,True,True,8500
112,EMP0012,Finance,BLR,DEL,2026-01-22,2026-01-24,Air India,9037,Treebo,DEL,5617,True,False,9000
113,EMP0097,Finance,BLR,MAA,2025-10-17,2025-10-27,Akasa Air,5884,Marriott,MAA,7721,False,True,7000
114,EMP0109,Sales,BOM,DEL,2026-01-31,2026-02-06,IndiGo,7901,Marriott,DEL,8595,True,True,8500
115,EMP0105,HR,MAA,BLR,2026-01-01,2026-01-15,Akasa Air,6605,Taj,BLR,7935,False,True,7000
116,EMP0098,Marketing,BOM,DEL,2025-12-02,2025-12-04,Air India,11787,ITC,DEL,5777,True,True,8500
117,EMP0049,Finance,DEL,BLR,2025-12-02,2025-12-03,Vistara,11861,Marriott,BLR,4695,True,True,9000
118,EMP0020,Engineering,MAA,BLR,2025-10-13,2025-10-27,IndiGo,6140,Marriott,BLR,8973,True,True,7000
119,EMP0035,Engineering,MAA,BLR,2025-10-25,2025-11-04,SpiceJet,5693,Taj,BLR,7986,False,True,7000
120,EMP0040,Sales,BLR,BOM,2025-12-08,2025-12-10,IndiGo,8790,ITC,BOM,9022,True,True,8000
121,EMP0056,Engineering,BLR,BOM,2025-12-04,2025-12-08,Akasa Air,8266,Treebo,BOM,5136,False,False,8000
122,EMP0056,Sales,DEL,BLR,2026-02-15,2026-02-15,Vistara,9581,Treebo,BLR,8551,True,False,9000
123,EMP0103,HR,DEL,BLR,2026-02-02,2026-02-04,IndiGo,10955,Lemon Tree,BLR,8487,True,False,9000
124,EMP0096,Marketing,BLR,BOM,2025-11-28,2025-12-02,IndiGo,7626,Treebo,BOM,7106,True,False,8000
125,EMP0094,Engineering,BLR,BOM,2025-10-30,2025-11-03,Vistara,6155,ITC,BOM,6610,True,True,8000
126,EMP0064,Finance,MAA,BLR,2026-01-12,2026-01-26,SpiceJet,7487,OYO,BLR,8370,False,False,7000
127,EMP0020,Finance,BLR,DEL,2025-12-17,2025-12-20,Vistara,8429,Marriott,DEL,4607,True,True,9000
128,EMP0058,Sales,BLR,DEL,2025-12-05,2025-12-07,IndiGo,12767,OYO,DEL,9093,True,False,9000
129,EMP0102,Sales,DEL,BLR,2026-02-13,2026-02-14,Vistara,10283,Treebo,BLR,12294,True,False,9000
130,EMP0006,Engineering,BLR,MAA,2025-12-06,2025-12-16,Akasa Air,6607,Treebo,MAA,7051,False,False,7000
131,EMP0087,HR,BLR,DEL,2026-01-28,2026-01-30,IndiGo,8655,Marriott,DEL,8937,True,True,9000
132,EMP0043,Sales,MAA,BLR,2026-01-06,2026-01-13,Vistara,7609,Marriott,BLR,10185,True,True,7000
133,EMP0011,Marketing,MAA,BLR,2025-11-24,2025-12-08,Vistara,6776,ITC,BLR,11646,True,True,7000
134,EMP0066,Marketing,BLR,DEL,2025-12-04,2025-12-06,Air India,10014,ITC,DEL,6606,True,True,9000
135,EMP0101,Sales,MAA,BLR,2026-01-13,2026-01-27,Akasa Air,6753,Taj,BLR,5073,False,True,7000
136,EMP0020,Engineering,BLR,BOM,2026-01-31,2026-02-04,SpiceJet,6914,Taj,BOM,5945,False,True,8000
137,EMP0079,Marketing,BLR,MAA,2026-01-19,2026-01-29,Air India,5569,Treebo,MAA,13990,True,False,7000
138,EMP0074,Finance,DEL,BLR,2026-01-25,2026-01-27,SpiceJet,11395,Treebo,BLR,9324,False,False,9000
139,EMP0083,Finance,BOM,DEL,2025-12-28,2025-12-30,Akasa Air,9195,Taj,DEL,10922,False,True,8500
140,EMP0117,Engineering,DEL,BLR,2026-02-09,2026-02-11,IndiGo,8118,Lemon Tree,BLR,7681,True,False,9000
141,EMP0108,Marketing,BLR,BOM,2025-11-05,2025-11-07,Vistara,8936,Lemon Tree,BOM,9090,True,False,8000
142,EMP0003,Marketing,BLR,BOM,2026-01-31,2026-02-04,Akasa Air,7548,OYO,BOM,8663,False,False,8000
143,EMP0082,HR,DEL,BLR,2025-10-29,2025-10-29,SpiceJet,10613,Treebo,BLR,7349,False,False,9000
144,EMP0074,Finance,BLR,BOM,2026-01-12,2026-01-14,Akasa Air,7316,Marriott,BOM,8158,False,True,8000
145,EMP0050,Finance,BLR,DEL,2026-01-07,2026-01-10,Vistara,8990,Marriott,DEL,4553,True,True,9000
146,EMP0094,Sales,MAA,BLR,2026-01-13,2026-01-23,Air India,5886,Taj,BLR,5434,True,True,7000
147,EMP0088,Finance,BLR,MAA,2025-12-07,2025-12-21,Air India,5076,ITC,MAA,9767,True,True,7000
148,EMP0102,Engineering,BLR,DEL,2025-11-28,2025-11-30,Akasa Air,12453,Lemon Tree,DEL,6042,False,False,9000
149,EMP0007,Marketing,BOM,DEL,2025-10-30,2025-11-05,SpiceJet,8477,Lemon Tree,DEL,11114,False,False,8500
150,EMP0048,HR,BOM,DEL,2026-01-29,2026-01-31,SpiceJet,10368,Taj,DEL,6406,False,True,8500
151,EMP0011,Marketing,BLR,MAA,2025-11-17,2025-11-27,SpiceJet,6909,Treebo,MAA,12332,False,False,7000
152,EMP0046,HR,DEL,BLR,2025-11-25,2025-11-25,IndiGo,10391,OYO,BLR,9437,True,False,9000
153,EMP0101,Finance,BLR,DEL,2025-11-06,2025-11-06,Air India,9255,OYO,DEL,9368,True,False,9000
154,EMP0048,Marketing,DEL,BLR,2026-01-26,2026-01-26,Akasa Air,10006,ITC,BLR,6044,False,True,9000
155,EMP0004,Engineering,DEL,BLR,2025-12-23,2025-12-26,Akasa Air,7242,Taj,BLR,7655,False,True,9000
156,EMP0079,Marketing,BLR,MAA,2026-02-05,2026-02-15,Air India,5990,Taj,MAA,7646,True,True,7000
157,EMP0104,Marketing,BLR,MAA,2025-11-20,2025-12-04,IndiGo,6418,Treebo,MAA,6419,True,False,7000
158,EMP0082,Engineering,BOM,DEL,2025-12-21,2025-12-25,IndiGo,8643,ITC,DEL,10993,True,True,8500
159,EMP0048,Finance,MAA,BLR,2025-10-23,2025-11-06,IndiGo,5766,Taj,BLR,7921,True,True,7000
160,EMP0099,Finance,MAA,BLR,2025-10-23,2025-10-30,Vistara,5107,OYO,BLR,9089,True,False,7000
161,EMP0100,HR,BLR,MAA,2025-12-28,2026-01-04,Air India,6308,Lemon Tree,MAA,5796,True,False,7000
162,EMP0021,Marketing,BLR,MAA,2025-11-08,2025-11-18,Akasa Air,7268,Marriott,MAA,8512,False,True,7000
163,EMP0081,Marketing,MAA,BLR,2025-12-21,2025-12-28,Akasa Air,5372,OYO,BLR,5533,False,False,7000
164,EMP0116,HR,BOM,DEL,2026-02-03,2026-02-05,IndiGo,7889,Taj,DEL,5726,True,True,8500
165,EMP0054,HR,BLR,MAA,2025-10-14,2025-10-24,Akasa Air,6697,Marriott,MAA,6006,False,True,7000
166,EMP0088,Finance,BOM,DEL,2025-12-16,2025-12-18,IndiGo,9270,ITC,DEL,13080,True,True,8500
167,EMP0041,Marketing,DEL,BLR,2025-11-04,2025-11-06,Akasa Air,9323,Treebo,BLR,5303,False,False,9000
168,EMP0050,HR,DEL,BLR,2025-11-20,2025-11-21,Vistara,10292,Treebo,BLR,9366,True,False,9000
169,EMP0064,Sales,BLR,DEL,2026-02-15,2026-02-18,Akasa Air,9780,Lemon Tree,DEL,6990,False,False,9000
170,EMP0077,Finance,BOM,DEL,2025-12-26,2025-12-28,IndiGo,7554,Lemon Tree,DEL,8104,True,False,8500
171,EMP0073,HR,BLR,BOM,2025-11-30,2025-12-06,IndiGo,7213,Lemon Tree,BOM,7848,True,False,8000
172,EMP0079,Sales,BLR,BOM,2025-10-25,2025-11-02,Vistara,7385,Marriott,BOM,7008,True,True,8000
173,EMP0065,Sales,BLR,DEL,2025-10-24,2025-10-25,Vistara,9351,Lemon Tree,DEL,5651,True,False,9000
174,EMP0021,Finance,MAA,BLR,2026-01-13,2026-01-23,Akasa Air,6320,Marriott,BLR,8012,False,True,7000
175,EMP0039,Finance,BLR,DEL,2025-12-05,2025-12-07,IndiGo,11249,Lemon Tree,DEL,4973,True,False,9000
176,EMP0084,HR,MAA,BLR,2025-11-05,2025-11-19,IndiGo,6245,Treebo,BLR,7429,True,False,7000
177,EMP0005,HR,BLR,MAA,2025-10-28,2025-11-04,IndiGo,5778,Lemon Tree,MAA,6368,True,False,7000
178,EMP0118,Finance,BLR,MAA,2026-01-15,2026-01-22,Air India,5480,Treebo,MAA,9166,True,False,7000
179,EMP0023,Finance,MAA,BLR,2025-11-19,2025-12-03,Vistara,7061,OYO,BLR,9291,True,False,7000
180,EMP0072,Marketing,BLR,BOM,2026-02-12,2026-02-18,Vistara,6263,OYO,BOM,7546,True,False,8000
181,EMP0120,Marketing,BOM,DEL,2025-10-28,2025-11-05,SpiceJet,9195,Marriott,DEL,9482,False,True,8500
182,EMP0011,Marketing,DEL,BLR,2026-01-10,2026-01-12,SpiceJet,8865,ITC,BLR,8619,False,True,9000
183,EMP0076,Engineering,BLR,BOM,2025-10-23,2025-10-27,Air India,5920,Taj,BOM,11262,True,True,8000
184,EMP0001,HR,BLR,BOM,2025-12-04,2025-12-12,SpiceJet,6238,OYO,BOM,10298,False,False,8000
185,EMP0084,HR,BLR,BOM,2025-12-26,2025-12-28,Air India,9709,Lemon Tree,BOM,12774,True,False,8000
186,EMP0112,Marketing,BLR,DEL,2025-10-20,2025-10-22,Akasa Air,9326,Treebo,DEL,9779,False,False,9000
187,EMP0018,HR,DEL,BLR,2025-11-23,2025-11-24,IndiGo,8521,Marriott,BLR,7188,True,True,9000
188,EMP0038,HR,BLR,MAA,2026-01-18,2026-01-25,Air India,7297,Treebo,MAA,12134,True,False,7000
189,EMP0024,Engineering,DEL,BLR,2025-11-30,2025-12-01,IndiGo,9478,Marriott,BLR,6700,True,True,9000
190,EMP0093,HR,BLR,DEL,2025-11-21,2025-11-23,Air India,10789,Taj,DEL,8116,True,True,9000
191,EMP0114,Marketing,BLR,MAA,2025-10-22,2025-11-05,Vistara,6620,Marriott,MAA,5094,True,True,7000
192,EMP0059,HR,BOM,DEL,2025-12-05,2025-12-13,Akasa Air,8757,OYO,DEL,14949,False,False,8500
193,EMP0091,Marketing,BLR,DEL,2026-02-15,2026-02-15,IndiGo,11084,Treebo,DEL,5873,True,False,9000
194,EMP0015,Engineering,BLR,MAA,2025-12-24,2026-01-03,IndiGo,6924,Treebo,MAA,11268,True,False,7000
195,EMP0104,Marketing,BLR,MAA,2025-10-13,2025-10-23,Vistara,6988,Taj,MAA,4371,True,True,7000
196,EMP0090,Sales,MAA,BLR,2025-10-21,2025-10-28,SpiceJet,5703,Taj,BLR,5109,False,True,7000
197,EMP0094,Finance,BOM,DEL,2026-02-04,2026-02-12,SpiceJet,7227,Lemon Tree,DEL,8752,False,False,8500
198,EMP0016,Engineering,MAA,BLR,2025-11-26,2025-12-10,Air India,7640,OYO,BLR,5414,True,False,7000
199,EMP0093,HR,DEL,BLR,2025-12-25,2025-12-28,Air India,7958,ITC,BLR,5544,True,True,9000
200,EMP0093,Sales,BLR,DEL,2026-01-29,2026-02-01,Akasa Air,8734,Taj,DEL,7657,False,True,9000
201,EMP0091,Sales,BLR,BOM,2026-01-21,2026-01-23,SpiceJet,7398,Lemon Tree,BOM,4649,False,False,8000
202,EMP0030,HR,BOM,DEL,2025-12-27,2026-01-02,Air India,8929,Marriott,DEL,8270,True,True,8500
203,EMP0039,Marketing,BLR,DEL,2025-12-30,2025-12-31,SpiceJet,11250,Treebo,DEL,8800,False,False,9000
204,EMP0054,Finance,BLR,BOM,2025-11-20,2025-11-28,Air India,7115,Treebo,BOM,10879,True,False,8000
205,EMP0008,HR,DEL,BLR,2025-12-12,2025-12-13,SpiceJet,10299,ITC,BLR,9976,False,True,9000
206,EMP0025,Sales,BOM,DEL,2025-12-06,2025-12-08,IndiGo,11085,ITC,DEL,5777,True,True,8500
207,EMP0112,Marketing,BOM,DEL,2026-02-12,2026-02-14,Air India,10467,ITC,DEL,7923,True,True,8500
208,EMP0090,HR,BLR,MAA,2025-11-06,2025-11-16,Air India,5800,Treebo,MAA,9070,True,False,7000
209,EMP0034,Marketing,MAA,BLR,2026-01-31,2026-02-10,SpiceJet,7147,Taj,BLR,6623,False,True,7000
210,EMP0048,Marketing,DEL,BLR,2025-10-25,2025-10-26,Air India,9992,Taj,BLR,7420,True,True,9000
211,EMP0026,Marketing,BLR,BOM,2025-12-04,2025-12-08,SpiceJet,7694,Treebo,BOM,7506,False,False,8000
212,EMP0093,Finance,DEL,BLR,2025-11-09,2025-11-11,Air India,11085,ITC,BLR,8441,True,True,9000
213,EMP0008,HR,BLR,DEL,2026-02-05,2026-02-05,IndiGo,10530,Taj,DEL,7078,True,True,9000
214,EMP0048,Sales,MAA,BLR,2025-12-27,2026-01-10,Akasa Air,8138,Lemon Tree,BLR,7395,False,False,7000
215,EMP0036,HR,BOM,DEL,2025-10-15,2025-10-23,Air India,9071,Taj,DEL,8112,True,True,8500
216,EMP0105,Marketing,BOM,DEL,2026-01-22,2026-01-30,IndiGo,9211,Marriott,DEL,5992,True,True,8500
217,EMP0029,Marketing,BLR,MAA,2026-01-27,2026-02-03,IndiGo,6034,Taj,MAA,9501,True,True,7000
218,EMP0022,Sales,DEL,BLR,2026-02-03,2026-02-06,Vistara,9818,Treebo,BLR,10621,True,False,9000
219,EMP0116,HR,DEL,BLR,2025-11-24,2025-11-24,IndiGo,13193,OYO,BLR,4498,True,False,9000
220,EMP0003,Engineering,MAA,BLR,2025-10-25,2025-11-08,SpiceJet,5737,Taj,BLR,8642,False,True,7000
221,EMP0050,HR,BOM,DEL,2025-12-05,2025-12-09,IndiGo,8484,Treebo,DEL,5429,True,False,8500
222,EMP0044,HR,MAA,BLR,2025-12-26,2026-01-05,Vistara,6675,Taj,BLR,7690,True,True,7000
